Feature,Importance
Previous_Week_Sales,0.6420605698610794
Rolling_Mean_4,0.29509432354589177
Sales_Difference,0.05031245281647315
Rolling_STD_4,0.008958340483683293
Week,0.0010354546789570298
Day,0.0006674091571152462
Temperature,0.00042396487313850646
Unemployment,0.00031752937463309813
CPI,0.00030807233487368835
Fuel_Price,0.0002487082789065262
Store,0.00023189671572001542
Month,0.00015331863772014202
Holiday_Flag,7.279209185959304e-05
Year,5.771871211536687e-05
Quarter,5.744843783323212e-05
DayOfWeek,0.0
