Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Week,Quarter,Day,DayOfWeek,IsWeekend,Previous_Week_Sales,Rolling_Mean_4,Rolling_STD_4,Sales_Difference,Revenue_Growth
1,2010-02-05,1643690.9,0,42.31,2.572,211.0963582,8.106,2010,2,5,1,5,4,0,960746.04,960746.04,0.0,682944.8599999999,71.08484777100928
1,2010-02-12,1641957.44,1,38.51,2.548,211.2421698,8.106,2010,2,6,1,12,4,0,1643690.9,960746.04,0.0,-1733.4599999999627,-0.10546143438525837
1,2010-02-19,1611968.17,0,39.93,2.514,211.2891429,8.106,2010,2,7,1,19,4,0,1641957.44,960746.04,0.0,-29989.27000000002,-1.82643406396697
1,2010-02-26,1409727.59,0,46.63,2.561,211.3196429,8.106,2010,2,8,1,26,4,0,1611968.17,1576836.025,112353.41511397276,-202240.57999999984,-12.54618942010498
1,2010-03-05,1554806.68,0,46.5,2.625,211.3501429,8.106,2010,3,9,1,5,4,0,1409727.59,1554614.9699999997,103135.00254832554,145079.08999999985,10.291285424867072
1,2010-03-12,1439541.59,0,57.79,2.667,211.3806429,8.106,2010,3,10,1,12,4,0,1554806.68,1504011.0075,95360.05083899511,-115265.08999999985,-7.413467634445708
1,2010-03-19,1472515.79,0,54.58,2.72,211.215635,8.106,2010,3,11,1,19,4,0,1439541.59,1469147.9125,62599.4571500743,32974.19999999995,2.290604191574621
1,2010-03-26,1404429.92,0,51.45,2.732,211.0180424,8.106,2010,3,12,1,26,4,0,1472515.79,1467823.495,64308.38101632066,-68085.87000000011,-4.623778601382611
1,2010-04-02,1594968.28,0,62.27,2.719,210.8204499,7.808,2010,4,13,2,2,4,0,1404429.92,1477863.895,82871.76229599727,190538.3600000001,13.566953913941118
1,2010-04-09,1545418.53,0,65.86,2.77,210.6228574,7.808,2010,4,14,2,9,4,0,1594968.28,1504333.13,83458.04335445474,-49549.75,-3.1066291801113435
1,2010-04-16,1466058.28,0,66.32,2.808,210.4887,7.808,2010,4,15,2,16,4,0,1545418.53,1502718.7525,84336.49103572944,-79360.25,-5.1351946711807575
1,2010-04-23,1391256.12,0,64.84,2.795,210.4391228,7.808,2010,4,16,2,23,4,0,1466058.28,1499425.3025,89550.29826614384,-74802.15999999992,-5.102263738110051
1,2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,2010,4,17,2,30,4,0,1391256.12,1456958.41,66432.18202288529,33844.58999999985,2.432664231514744
1,2010-05-07,1603955.12,0,72.55,2.835,210.3399684,7.808,2010,5,18,2,7,4,0,1425100.71,1471592.5575,93391.49007121939,178854.41000000015,12.550299690749586
1,2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,2010,5,19,2,14,4,0,1603955.12,1478640.8625,93897.10021693469,-109703.62000000011,-6.839569176972988
1,2010-05-21,1399662.07,0,76.44,2.826,210.6170934,7.808,2010,5,20,2,21,4,0,1494251.5,1480742.35,91348.94221530126,-94589.42999999993,-6.330221518934392
1,2010-05-28,1432069.95,0,80.44,2.759,210.8967606,7.808,2010,5,21,2,28,4,0,1399662.07,1482484.6600000001,89990.28757758501,32407.87999999989,2.3154074611738165
1,2010-06-04,1615524.71,0,80.69,2.705,211.1764278,7.808,2010,6,22,2,4,4,0,1432069.95,1485377.0575,95229.32666829095,183454.76,12.810460829793966
1,2010-06-11,1542561.09,0,80.43,2.668,211.4560951,7.808,2010,6,23,2,11,4,0,1615524.71,1497454.455,99688.97915495554,-72963.61999999988,-4.516403837611365
